,CountryName,RegionName,PredictorName,Cumul-7DMA-MAE-per-100K,PredictorRank
5895,United States,Washington DC,mlp_model_1110_2,,3.0
5895,United States,Washington DC,LSTM,,2.0
5895,United States,Washington DC,Linear,,1.0
5917,United States,West Virginia,Linear,44.32492570610048,1.0
5917,United States,West Virginia,mlp_model_1110_6,71.9134062261222,2.0
5917,United States,West Virginia,LSTM,80.19140626011702,3.0
5917,United States,West Virginia,mlp_model_0110_2,224.86146050681373,4.0
5917,United States,West Virginia,mlp_model_1110_2,230.67285562391064,5.0
5917,United States,West Virginia,mlp_model_1110,239.1273042412272,6.0
5917,United States,West Virginia,mlp_model_0110_6,352.7343196268086,7.0
5917,United States,West Virginia,mlp_model_0110,141436.0035176663,8.0
5939,United States,Wisconsin,mlp_model_1110_6,78.41538868148652,1.0
5939,United States,Wisconsin,mlp_model_1110,118.37628231613154,2.0
5939,United States,Wisconsin,mlp_model_0110_6,219.4069425542587,3.0
5939,United States,Wisconsin,Linear,247.6013221409987,4.0
5939,United States,Wisconsin,mlp_model_1110_2,278.9154930984829,5.0
5939,United States,Wisconsin,mlp_model_0110_2,284.68960728671493,6.0
5939,United States,Wisconsin,LSTM,354.7590080183421,7.0
5939,United States,Wisconsin,mlp_model_0110,19183.3362113761,8.0
5961,United States,Wyoming,Linear,252.26536453553624,1.0
5961,United States,Wyoming,LSTM,492.5865219829677,2.0
5961,United States,Wyoming,mlp_model_1110_6,630.463500019971,3.0
5961,United States,Wyoming,mlp_model_1110_2,675.6138656234966,4.0
5961,United States,Wyoming,mlp_model_0110_6,695.5056852110267,5.0
5961,United States,Wyoming,mlp_model_1110,774.9616346448541,6.0
5961,United States,Wyoming,mlp_model_0110_2,936.2195798553885,7.0
5961,United States,Wyoming,mlp_model_0110,157066.914447519,8.0
